N,P,K,temperature,humidity,ph,rainfall,predict
80,48,1,25.95903697,93.29843826,5.255508951,99.20107016,,coffee
119,66,4,22.53470983,22.19725481,4.035434848,50.99413495,,grapes
13,19,21,27.9774836,90.37740709,7.722204426,185.1482478,,kidneybeans
69,22,11,15.82454594,42.25297653,4.272665906,257.5524126,,kidneybeans
24,135,140,38.36676157,60.19738722,6.470948723,132.1646485,,kidneybeans
20,107,38,24.41669516,60.15315964,4.444369958,43.63296991,,kidneybeans
66,128,138,38.94898972,59.88890833,7.182541912,180.0358469,,kidneybeans
18,84,113,19.87395076,59.33324296,4.855123029,205.8523975,,coffee
20,75,74,33.1811167,58.41495197,8.439867064,203.6594163,,kidneybeans
38,101,27,37.37876259,17.2844377,8.007185009,166.2580458,,kidneybeans
51,98,135,21.17380601,68.46531082,5.28294188,56.66487658,,mango
138,24,41,35.37851634,54.15403149,7.711051819,83.45706863,,grapes
18,82,50,18.59364902,46.10897996,5.411023602,33.14947451,,coffee
55,30,123,34.05450197,71.11053178,6.81212792,254.2710676,,kidneybeans
92,113,146,27.45214717,99.24453848,8.710037935,297.1028189,,grapes
2,147,54,36.01756302,37.4746032,5.428789459,174.6571964,,mango
132,95,96,29.05737109,59.58895173,4.019451452,74.34509941,,kidneybeans
53,63,18,14.37434249,21.22399006,4.094993163,79.22418529,,kidneybeans
51,140,3,11.73079413,97.23634972,6.112913081,255.6390693,,mango
96,133,85,37.94969889,60.53661417,8.580160223,73.442376,,coffee
27,31,124,26.43189717,88.80411875,6.91536857,14.41806907,,kidneybeans
55,79,130,14.22589232,75.32957215,8.003046301,33.8902832,,kidneybeans
32,125,79,39.27139104,35.32523675,8.167983219,95.30852751,,kidneybeans
78,46,69,32.28942125,47.94177023,5.486609363,288.7293288,,coffee
30,64,71,12.16266715,46.86281658,5.202821289,171.4969747,,banana
20,73,43,32.92559018,51.28820068,7.074145963,83.38887056,,kidneybeans
22,100,92,20.22108244,36.9305276,7.101548229,71.40432693,,banana
18,20,104,35.30182731,68.94548668,5.922863616,70.96087122,,coffee
125,50,119,10.28494808,18.61628597,4.338394032,21.19732741,,grapes
5,23,46,21.18217883,41.96646861,5.601726957,189.0295418,,coffee
55,79,87,35.21332767,70.91485345,5.30891451,138.1215952,,kidneybeans
140,115,122,30.29484128,89.15194523,8.639583326,88.93161224,,kidneybeans
117,62,75,28.60731101,34.51155675,7.124170738,107.4944591,,kidneybeans
82,71,132,11.90389982,62.95874822,4.293923816,240.3401049,,kidneybeans
82,82,147,14.65433051,33.40539349,8.811787388,250.3206026,,kidneybeans
84,44,91,32.71143214,47.75488122,7.173606373,166.7975961,,kidneybeans
26,13,61,26.48570537,49.37872272,8.692916799,210.5091899,,kidneybeans
120,81,45,31.37899146,60.28753424,6.657247471,146.7583396,,kidneybeans
20,113,71,24.97420561,84.23091788,4.515394745,90.99463369,,kidneybeans
72,81,49,16.5299802,80.37824214,5.886515861,226.4645394,,kidneybeans
121,51,115,24.16133181,14.32819036,5.153297148,241.5085551,,coffee
14,56,60,10.70412213,51.38799949,8.041109347,123.1891707,,grapes
24,117,70,37.9878446,38.40737921,7.275041596,51.63320353,,kidneybeans
48,66,100,31.13291434,95.48019064,7.479369883,92.08909613,,grapes
64,140,135,14.60292076,42.68221099,8.731583486,146.5713146,,kidneybeans
15,88,90,12.10905199,28.55467139,8.933186681,188.8383539,,coffee
1,11,15,22.24601255,85.16329444,5.529757412,103.9202752,,kidneybeans
77,1,104,34.35187728,35.99235231,4.799443181,96.66323129,,kidneybeans
75,145,134,21.55609386,20.1069244,8.083105575,49.60818828,,coffee
89,50,81,20.16600248,80.61487305,4.787171753,194.1786702,,kidneybeans
51,62,134,22.55067095,12.84105704,4.768788498,289.5815056,,mango
27,31,24,26.95476119,47.28062739,7.001534999,154.1818344,,kidneybeans
9,126,148,10.28566567,45.66627287,4.184674523,282.0749775,,coffee
107,42,6,37.75671448,71.86900426,5.290802625,253.9348397,,kidneybeans
88,92,111,11.88038931,71.31845363,6.873230943,175.9476732,,kidneybeans
85,30,63,15.0288028,41.9048542,4.514980748,82.86028563,,kidneybeans
25,37,12,33.76295019,98.98988221,7.277382264,138.9185478,,coffee
98,69,2,23.94055424,43.73583044,8.066515321,128.460108,,kidneybeans
18,33,74,38.7065461,89.16921665,8.82871623,195.0437223,,coffee
29,57,7,30.62270906,38.03456147,6.142234926,10.48874002,,kidneybeans
18,65,145,36.63846348,50.31029362,6.694556063,271.8305254,,coffee
84,134,8,16.04805303,83.53399121,5.340634289,242.2436666,,kidneybeans
108,61,91,21.92001425,43.3661874,4.158437686,96.45823695,,grapes
21,100,61,25.34149061,96.48761135,5.161982433,119.5929813,,grapes
119,148,57,16.64287627,56.32280218,5.690576735,269.482937,,grapes
35,42,27,15.30313709,55.85996712,8.780934417,191.6777116,,kidneybeans
96,124,92,31.13679627,79.75704532,7.366990813,41.12535329,,coffee
56,20,36,13.03828142,36.91610783,7.968784226,208.320464,,mango
52,4,137,35.442634,98.8944409,5.401649784,255.8777785,,grapes
17,31,61,13.19294139,52.70471772,5.346664684,115.7793135,,kidneybeans
84,4,34,33.3112273,91.47213796,8.15145399,55.87473408,,kidneybeans
60,35,12,28.56997617,16.82192508,5.690355773,49.35256526,,grapes
103,145,94,30.93983425,52.66054276,8.861421009,160.7740846,,kidneybeans
63,21,14,27.60733689,55.18991797,4.913160359,34.74819271,,kidneybeans
41,19,140,20.42480251,33.28377857,6.963865904,64.05338401,,kidneybeans
113,148,11,39.48162365,31.98775545,6.216905237,142.7922231,,kidneybeans
126,3,135,25.66188983,49.08800315,5.529286299,88.52095041,,kidneybeans
42,32,106,18.74480535,75.52561511,5.36746982,18.6301583,,banana
122,103,0,13.66933745,26.94434282,8.27503513,81.51619501,,kidneybeans
90,36,88,15.64224274,86.75160418,7.82667715,64.67381507,,kidneybeans
84,79,5,30.70954526,45.64217527,6.297022846,290.1340616,,kidneybeans
28,142,121,15.44455583,82.48273554,7.021491083,262.4449938,,kidneybeans
7,104,87,17.4872301,98.97682218,8.653832284,206.2077481,,grapes
119,130,23,12.15092015,82.42770179,5.424812775,29.53293738,,grapes
120,132,103,31.1187632,24.56633038,7.944266155,295.8665125,,kidneybeans
